OrderNumber,CustomerKey,Region,IncomeGroup
SO61313,11427,Europe,High
SO61314,11211,North America,Moderate
SO61315,15146,Pacific,High
SO61316,21187,Pacific,Moderate
SO61317,17355,Pacific,Low
SO61318,18492,Pacific,High
SO61319,20262,Pacific,High
SO61320,28943,Pacific,High
SO61321,14319,Pacific,High
SO61322,12371,Pacific,Moderate
SO61323,17848,Europe,Low
SO61324,25445,Europe,Moderate
SO61325,21683,Europe,Moderate
SO61326,16422,Europe,Low
SO61327,15684,Europe,High
SO61328,11684,North America,Moderate
SO61329,27065,North America,Moderate
SO61330,24394,North America,High
SO61331,11262,North America,High
SO61332,25967,North America,High
SO61333,11091,North America,High
SO61334,22239,North America,Moderate
SO61335,19864,North America,Moderate
SO61336,19876,North America,Moderate
SO61337,26802,North America,Moderate
SO61338,16720,North America,Low
SO61339,14409,North America,High
SO61340,13737,North America,Moderate
SO61341,16300,Europe,Low
SO61342,12497,Europe,Moderate
SO61343,22672,Europe,Low
SO61344,17816,Europe,Low
SO61345,20135,Europe,Low
SO61346,16293,Europe,Moderate
SO61347,21816,Europe,High
SO61348,23919,Europe,Low
SO61349,12563,Europe,Low
SO61350,11280,North America,High
SO61351,11201,North America,High
SO61352,12135,North America,High
SO61353,16717,North America,Moderate
SO61354,12611,Europe,Low
SO61355,12563,Europe,Low
SO61356,14580,North America,Moderate
SO61357,14581,North America,Moderate
SO61358,14456,North America,High
SO61359,14420,North America,High
SO61360,12041,North America,Moderate
SO61361,25127,Pacific,High
SO61362,13648,Pacific,High
SO61363,29201,North America,High
SO61364,24684,North America,Moderate
SO61365,20683,North America,High
SO61366,14185,Europe,High
SO61367,11099,Pacific,Moderate
SO61368,11904,Pacific,High
SO61369,29084,Pacific,Low
SO61370,11464,Pacific,High
SO61371,27515,Pacific,High
SO61372,12139,North America,High
SO61373,11122,Pacific,High
SO61374,13046,Pacific,Low
SO61375,13150,Pacific,Low
SO61376,13613,Pacific,Moderate
SO61377,18199,Pacific,High
SO61378,18270,Pacific,High
SO61379,16436,Europe,Low
SO61380,15927,Europe,High
SO61381,12623,Europe,Low
SO61382,15697,Europe,High
SO61383,14429,Europe,High
SO61384,11086,North America,High
SO61385,11262,North America,High
SO61386,27609,North America,High
SO61387,28253,North America,High
SO61388,14265,North America,Low
SO61389,25194,North America,High
SO61390,27458,North America,High
SO61391,16497,North America,Low
SO61392,26687,North America,High
SO61393,16085,North America,Moderate
SO61394,16948,North America,Moderate
SO61395,17699,North America,Moderate
SO61396,25328,North America,Moderate
SO61397,25002,North America,Moderate
SO61398,23368,North America,Moderate
SO61399,15939,North America,High
SO61400,14375,North America,Moderate
SO61401,20740,North America,Low
SO61402,14254,North America,High
SO61403,14942,Europe,Low
SO61404,16314,Europe,Low
SO61405,16943,Europe,Low
SO61406,21522,Europe,High
SO61407,20974,Europe,Low
SO61408,26915,Europe,Low
SO61409,15155,North America,High
SO61410,14648,North America,High
SO61411,14484,North America,High
SO61412,12079,North America,Moderate
SO61413,11937,North America,Low
SO61414,14449,North America,High
SO61415,12782,North America,Moderate
SO61416,17184,Europe,High
SO61417,17734,Pacific,Low
SO61418,24585,Pacific,Moderate
SO61419,24484,Pacific,Moderate
SO61420,13122,Pacific,High
SO61421,13284,North America,High
SO61422,12986,North America,High
SO61423,13559,Europe,Moderate
SO61424,22674,Europe,Low
SO61425,13050,Pacific,Moderate
SO61426,27500,Pacific,High
SO61427,27512,Pacific,High
SO61428,20615,Pacific,High
SO61429,20616,Pacific,High
SO61430,11253,North America,Moderate
SO61431,14233,Pacific,High
SO61432,16710,Pacific,High
SO61433,16625,Pacific,High
SO61434,23646,Pacific,High
SO61435,17250,Pacific,High
SO61436,16016,Pacific,Low
SO61437,17896,Europe,Low
SO61438,25444,Europe,Moderate
SO61439,21071,Europe,Low
SO61440,14140,Europe,Low
SO61441,15923,Europe,High
SO61442,15700,Europe,High
SO61443,11078,North America,Moderate
SO61444,11125,Pacific,High
SO61445,18314,North America,Low
SO61446,16506,North America,Moderate
SO61447,12203,North America,High
SO61448,23561,North America,Moderate
SO61449,11331,North America,High
SO61450,22775,North America,Moderate
SO61451,11642,North America,Moderate
SO61452,13144,North America,Moderate
SO61453,15572,North America,Moderate
SO61454,14265,North America,Low
SO61455,11215,North America,Moderate
SO61456,16986,North America,High
SO61457,15516,North America,High
SO61458,25157,North America,High
SO61459,14536,Europe,Low
SO61460,15442,Europe,Low
SO61461,12444,North America,Moderate
SO61462,14760,North America,High
SO61463,11860,North America,High
SO61464,13229,North America,High
SO61465,19719,North America,High
SO61466,14464,North America,High
SO61467,27006,Europe,Low
SO61468,27118,Europe,Low
SO61469,16424,Europe,Moderate
SO61470,13600,Europe,High
SO61471,17730,Pacific,Low
SO61472,13123,Pacific,High
SO61473,13135,Pacific,High
SO61474,29221,North America,High
SO61475,13366,North America,High
SO61476,23217,North America,Moderate
SO61477,19987,North America,Moderate
SO61478,20394,North America,Moderate
SO61479,17567,North America,Moderate
SO61480,27795,Europe,Moderate
SO61481,17233,Pacific,High
SO61482,14059,Pacific,High
SO61483,19578,Pacific,Moderate
SO61484,22941,Pacific,High
SO61485,26143,Pacific,High
SO61486,29188,Pacific,High
SO61487,14217,Pacific,High
SO61488,21545,Europe,High
SO61489,13561,Europe,Moderate
SO61490,15637,Europe,Moderate
SO61491,15086,Europe,Moderate
SO61492,15118,Europe,High
SO61493,11667,North America,High
SO61494,11643,North America,Moderate
SO61495,11506,North America,Moderate
SO61496,11498,North America,Moderate
SO61497,27637,North America,High
SO61498,28232,North America,High
SO61499,11277,North America,High
SO61500,23689,North America,Moderate
SO61501,24961,North America,Moderate
SO61502,18449,North America,Moderate
SO61503,23687,North America,Low
SO61504,14574,North America,Moderate
SO61505,20349,North America,Moderate
SO61506,19018,North America,Moderate
SO61507,23554,North America,Moderate
SO61508,19082,Europe,High
SO61509,21533,Europe,High
SO61510,20133,Europe,Low
SO61511,21077,Europe,Low
