CurrencyRateID,CurrencyRateDate,FromCurrencyCode,ToCurrencyCode,AverageRate,EndOfDayRate,ModifiedDate
1,31/05/2011 0:00:00,USD,ARS,"1,00 €","1,00 €",31/05/2011 0:00:00
2,31/05/2011 0:00:00,USD,AUD,"1,55 €","1,55 €",31/05/2011 0:00:00
3,31/05/2011 0:00:00,USD,BRL,"1,94 €","1,94 €",31/05/2011 0:00:00
4,31/05/2011 0:00:00,USD,CAD,"1,46 €","1,47 €",31/05/2011 0:00:00
5,31/05/2011 0:00:00,USD,CNY,"8,28 €","8,28 €",31/05/2011 0:00:00
6,31/05/2011 0:00:00,USD,DEM,"1,90 €","1,90 €",31/05/2011 0:00:00
7,31/05/2011 0:00:00,USD,EUR,"0,97 €","0,97 €",31/05/2011 0:00:00
8,31/05/2011 0:00:00,USD,FRF,"6,36 €","6,36 €",31/05/2011 0:00:00
9,31/05/2011 0:00:00,USD,GBP,"0,62 €","0,62 €",31/05/2011 0:00:00
10,31/05/2011 0:00:00,USD,JPY,"104,91 €","104,96 €",31/05/2011 0:00:00
11,31/05/2011 0:00:00,USD,MXN,"9,37 €","9,38 €",31/05/2011 0:00:00
12,31/05/2011 0:00:00,USD,SAR,"3,75 €","3,76 €",31/05/2011 0:00:00
13,31/05/2011 0:00:00,USD,VEB,"634,51 €","634,60 €",31/05/2011 0:00:00
14,01/06/2011 0:00:00,USD,ARS,"1,00 €","1,00 €",01/06/2011 0:00:00
15,01/06/2011 0:00:00,USD,AUD,"1,56 €","1,56 €",01/06/2011 0:00:00
16,01/06/2011 0:00:00,USD,BRL,"1,93 €","1,93 €",01/06/2011 0:00:00
17,01/06/2011 0:00:00,USD,CAD,"1,47 €","1,46 €",01/06/2011 0:00:00
18,01/06/2011 0:00:00,USD,CNY,"8,28 €","8,28 €",01/06/2011 0:00:00
19,01/06/2011 0:00:00,USD,DEM,"1,89 €","1,89 €",01/06/2011 0:00:00
20,01/06/2011 0:00:00,USD,EUR,"0,97 €","0,97 €",01/06/2011 0:00:00
21,01/06/2011 0:00:00,USD,FRF,"6,35 €","6,35 €",01/06/2011 0:00:00
22,01/06/2011 0:00:00,USD,GBP,"0,62 €","0,62 €",01/06/2011 0:00:00
23,01/06/2011 0:00:00,USD,JPY,"105,70 €","105,67 €",01/06/2011 0:00:00
24,01/06/2011 0:00:00,USD,MXN,"9,39 €","9,39 €",01/06/2011 0:00:00
25,01/06/2011 0:00:00,USD,SAR,"3,75 €","3,75 €",01/06/2011 0:00:00
26,01/06/2011 0:00:00,USD,VEB,"634,25 €","634,24 €",01/06/2011 0:00:00
27,02/06/2011 0:00:00,USD,ARS,"1,00 €","1,00 €",02/06/2011 0:00:00
28,02/06/2011 0:00:00,USD,AUD,"1,56 €","1,56 €",02/06/2011 0:00:00
29,02/06/2011 0:00:00,USD,BRL,"1,94 €","1,94 €",02/06/2011 0:00:00
30,02/06/2011 0:00:00,USD,CAD,"1,47 €","1,47 €",02/06/2011 0:00:00
31,02/06/2011 0:00:00,USD,CNY,"8,28 €","8,28 €",02/06/2011 0:00:00
32,02/06/2011 0:00:00,USD,DEM,"1,88 €","1,88 €",02/06/2011 0:00:00
33,02/06/2011 0:00:00,USD,EUR,"0,96 €","0,96 €",02/06/2011 0:00:00
34,02/06/2011 0:00:00,USD,FRF,"6,30 €","6,30 €",02/06/2011 0:00:00
35,02/06/2011 0:00:00,USD,GBP,"0,62 €","0,62 €",02/06/2011 0:00:00
36,02/06/2011 0:00:00,USD,JPY,"105,53 €","105,60 €",02/06/2011 0:00:00
37,02/06/2011 0:00:00,USD,MXN,"9,36 €","9,36 €",02/06/2011 0:00:00
38,02/06/2011 0:00:00,USD,SAR,"3,75 €","3,76 €",02/06/2011 0:00:00
39,02/06/2011 0:00:00,USD,VEB,"634,75 €","634,80 €",02/06/2011 0:00:00
40,03/06/2011 0:00:00,USD,ARS,"1,00 €","1,00 €",03/06/2011 0:00:00
41,03/06/2011 0:00:00,USD,AUD,"1,56 €","1,56 €",03/06/2011 0:00:00
42,03/06/2011 0:00:00,USD,BRL,"1,93 €","1,93 €",03/06/2011 0:00:00
43,03/06/2011 0:00:00,USD,CAD,"1,47 €","1,46 €",03/06/2011 0:00:00
44,03/06/2011 0:00:00,USD,CNY,"8,28 €","8,28 €",03/06/2011 0:00:00
