BusinessEntityID,CreditCardID,ModifiedDate
293,17038,31/07/2013 0:00:00
295,15369,01/08/2011 0:00:00
297,8010,01/08/2011 0:00:00
299,5316,31/07/2013 0:00:00
301,6653,31/05/2011 0:00:00
303,9010,31/07/2012 0:00:00
305,8937,31/05/2011 0:00:00
307,16124,30/10/2012 0:00:00
309,9478,01/07/2011 0:00:00
311,17600,01/08/2011 0:00:00
313,1970,30/06/2013 0:00:00
315,8274,31/07/2013 0:00:00
317,13045,31/05/2011 0:00:00
319,13601,01/08/2011 0:00:00
323,5958,31/07/2012 0:00:00
325,10709,30/05/2012 0:00:00
327,126,31/07/2013 0:00:00
329,6626,30/05/2013 0:00:00
331,14963,30/06/2012 0:00:00
333,18100,01/08/2011 0:00:00
335,12823,30/03/2013 0:00:00
337,11434,30/06/2013 0:00:00
339,13160,01/07/2011 0:00:00
341,3787,31/10/2011 0:00:00
343,8979,01/07/2011 0:00:00
345,14729,01/07/2011 0:00:00
347,6264,01/07/2011 0:00:00
349,2273,31/07/2013 0:00:00
351,18154,30/06/2012 0:00:00
353,18257,31/07/2013 0:00:00
355,14184,01/07/2011 0:00:00
357,11472,30/06/2013 0:00:00
359,10785,30/06/2013 0:00:00
361,4215,01/08/2011 0:00:00
363,2396,30/06/2013 0:00:00
365,4983,30/05/2012 0:00:00
367,1660,01/07/2011 0:00:00
369,17861,01/07/2011 0:00:00
371,15321,01/07/2011 0:00:00
373,3756,30/06/2013 0:00:00
375,14486,01/08/2011 0:00:00
377,16441,30/06/2013 0:00:00
379,10338,31/07/2013 0:00:00
381,4173,31/07/2012 0:00:00
383,18570,31/07/2013 0:00:00
385,9102,31/07/2012 0:00:00
387,626,31/10/2011 0:00:00
389,5409,30/08/2012 0:00:00
391,2337,31/05/2011 0:00:00
393,5262,31/07/2013 0:00:00
397,6272,31/07/2012 0:00:00
405,11945,30/10/2012 0:00:00
407,14938,31/07/2013 0:00:00
409,6306,30/06/2013 0:00:00
411,181,01/07/2011 0:00:00
413,17315,30/06/2012 0:00:00
417,13667,01/10/2011 0:00:00
419,12491,30/06/2013 0:00:00
421,18295,30/06/2012 0:00:00
427,12189,30/06/2012 0:00:00
429,16173,28/02/2013 0:00:00
431,10057,31/07/2012 0:00:00
435,10187,30/06/2013 0:00:00
437,5528,01/07/2011 0:00:00
439,7083,31/05/2011 0:00:00
441,12492,31/07/2013 0:00:00
443,7657,31/07/2013 0:00:00
445,1977,31/07/2013 0:00:00
449,9647,31/07/2013 0:00:00
451,1684,01/10/2011 0:00:00
453,1163,01/10/2011 0:00:00
455,11087,30/06/2013 0:00:00
463,3513,31/07/2013 0:00:00
465,11282,01/07/2011 0:00:00
471,14489,31/07/2012 0:00:00
473,9772,30/06/2012 0:00:00
475,7777,30/06/2013 0:00:00
477,7293,01/08/2011 0:00:00
479,14814,31/07/2013 0:00:00
481,10832,30/06/2013 0:00:00
483,4322,31/05/2011 0:00:00
487,18017,31/05/2011 0:00:00
