AccountKey,ParentAccountKey,AccountCodeAlternateKey,ParentAccountCodeAlternateKey,AccountDescription,AccountType,Operator,CustomMembers,ValueType,CustomMemberOptions
1,null,1,null,Balance Sheet,null,~,null,Currency,null
2,1,10,1,Assets,Assets,+,null,Currency,null
3,2,110,10,Current Assets,Assets,+,null,Currency,null
4,3,1110,110,Cash,Assets,+,null,Currency,null
5,3,1120,110,Receivables,Assets,+,null,Currency,null
6,5,1130,1120,Trade Receivables,Assets,+,null,Currency,null
7,5,1140,1120,Other Receivables,Assets,+,null,Currency,null
8,3,1150,110,Allowance for Bad Debt,Assets,+,null,Currency,null
9,3,1160,110,Inventory,Assets,+,null,Currency,null
10,9,1162,1160,Raw Materials,Assets,+,null,Currency,null
11,9,1164,1160,Work in Process,Assets,+,null,Currency,null
12,9,1166,1160,Finished Goods,Assets,+,null,Currency,null
13,3,1170,110,Deferred Taxes,Assets,+,null,Currency,null
14,3,1180,110,Prepaid Expenses,Assets,+,null,Currency,null
15,3,1185,110,Intercompany Receivables,Assets,+,null,Currency,null
17,2,1200,10,"Property, Plant, Equipment",Assets,+,null,Currency,null
18,17,1210,1200,Land & Improvements,Assets,+,null,Currency,null
19,17,1220,1200,Buildings & Improvements,Assets,+,null,Currency,null
20,17,1230,1200,Machinery & Equipment,Assets,+,null,Currency,null
21,17,1240,1200,Office Furniture & Equipment,Assets,+,null,Currency,null
22,17,1250,1200,Leasehold Improvements,Assets,+,null,Currency,null
23,17,1260,1200,Construction In Progress,Assets,+,null,Currency,null
24,2,1300,10,Other Assets,Assets,+,null,Currency,null
25,1,20,1,Liabilities and Owners Equity,Liabilities,-,null,Currency,null
26,25,210,20,Liabilities,Liabilities,+,null,Currency,null
27,26,2200,210,Current Liabilities,Liabilities,+,null,Currency,null
28,27,2210,2200,Notes Payable,Liabilities,+,null,Currency,null
29,27,2230,2200,Accounts Payable,Liabilities,+,null,Currency,null
30,27,2300,2200,Accrued Expenses,Liabilities,+,null,Currency,null
31,30,2310,2300,Salary & Other Comp,Liabilities,+,null,Currency,null
32,30,2320,2300,Insurance,Liabilities,+,null,Currency,null
33,30,2330,2300,Warranties,Liabilities,+,null,Currency,null
34,27,2340,2200,Intercompany Payables,Liabilities,+,null,Currency,null
35,27,2350,2200,Other Current Liabilities,Liabilities,+,null,Currency,null
36,26,2400,210,Long Term Liabilities,Liabilities,+,null,Currency,null
37,36,2410,2400,Long Term Obligations,Liabilities,+,null,Currency,null
38,36,2420,2400,Pension Liability,Liabilities,+,null,Currency,null
39,36,2430,2400,Other Retirement Benefits,Liabilities,+,null,Currency,null
40,36,2440,2400,Other Long Term Liabilities,Liabilities,+,null,Currency,null
41,25,300,20,Owners Equity,Liabilities,+,null,Currency,null
42,41,3010,300,Partner Capital,Liabilities,+,null,Currency,null
43,41,3020,300,Additional Paid In Capital,Liabilities,+,null,Currency,null
44,41,3030,300,Retained Earnings,Liabilities,+,null,Currency,null
45,44,3540,3030,Prior Year Retained Earnings,Liabilities,+,null,Currency,null
46,44,3550,3030,Current Retained Earnings,Liabilities,+,null,Currency,null
47,null,4,null,Net Income,Revenue,+,null,Currency,null
48,47,40,4,Operating Profit,Revenue,+,null,Currency,null
49,48,400,40,Gross Margin,Revenue,+,null,Currency,null
50,49,4100,400,Net Sales,Revenue,+,null,Currency,null
51,50,4110,4100,Gross Sales,Revenue,+,null,Currency,null
52,51,4500,4110,Intercompany Sales,Revenue,+,null,Currency,null
53,50,4130,4100,Returns and Adjustments,Expenditures,-,null,Currency,null
54,50,4140,4100,Discounts,Expenditures,-,null,Currency,null
55,49,5000,400,Total Cost of Sales,Expenditures,-,null,Currency,null
56,55,5020,5000,Standard Cost of Sales,Expenditures,+,null,Currency,null
57,55,5050,5000,Variances,Expenditures,+,null,Currency,null
58,48,60,40,Operating Expenses,Expenditures,-,null,Currency,null
59,58,600,60,Labor Expenses,Expenditures,+,null,Currency,null
60,59,6000,600,Salaries,Expenditures,+,null,Currency,null
61,59,6020,600,Payroll Taxes,Expenditures,+,null,Currency,null
62,59,6040,600,Employee Benefits,Expenditures,+,null,Currency,null
63,58,6100,60,Commissions,Expenditures,+,null,Currency,null
64,58,620,60,Travel Expenses,Expenditures,+,null,Currency,null
65,64,6200,620,Travel Transportation,Expenditures,+,null,Currency,null
66,64,6210,620,Travel Lodging,Expenditures,+,null,Currency,null
67,64,6220,620,Meals,Expenditures,+,null,Currency,null
68,64,6230,620,Entertainment,Expenditures,+,null,Currency,null
69,64,6240,620,Other Travel Related,Expenditures,+,null,Currency,null
70,58,630,60,Marketing,Expenditures,+,null,Currency,null
71,70,6300,630,Conferences,Expenditures,+,null,Currency,null
72,70,6310,630,Marketing Collateral,Expenditures,+,null,Currency,null
73,58,6400,60,Office Supplies,Expenditures,+,null,Currency,null
74,58,6500,60,Professional Services,Expenditures,+,null,Currency,null
75,58,660,60,Telephone and Utilities,Expenditures,+,null,Currency,null
76,75,6610,660,Telephone,Expenditures,+,null,Currency,null
77,75,6620,660,Utilities,Expenditures,+,null,Currency,null
78,58,6700,60,Other Expenses,Expenditures,+,null,Currency,null
79,58,680,60,Depreciation,Expenditures,+,null,Currency,null
80,79,6810,680,Building Leasehold,Expenditures,+,null,Currency,null
81,79,6820,680,Vehicles,Expenditures,+,null,Currency,null
82,79,6830,680,Equipment,Expenditures,+,null,Currency,null
83,79,6840,680,Furniture and Fixtures,Expenditures,+,null,Currency,null
84,79,6850,680,Other Assets,Expenditures,+,null,Currency,null
85,79,6860,680,Amortization of Goodwill,Expenditures,+,null,Currency,null
87,58,6920,60,Rent,Expenditures,+,null,Currency,null
88,47,80,4,Other Income and Expense,Revenue,+,null,Currency,null
89,88,8000,80,Interest Income,Revenue,+,null,Currency,null
90,88,8010,80,Interest Expense,Expenditures,-,null,Currency,null
91,88,8020,80,Gain/Loss on Sales of Asset,Revenue,+,null,Currency,null
92,88,8030,80,Other Income,Revenue,+,null,Currency,null
93,88,8040,80,Curr Xchg Gain/(Loss),Revenue,+,null,Currency,null
94,47,8500,4,Taxes,Expenditures,-,null,Currency,null
95,null,9500,null,Statistical Accounts,Statistical,~,null,Units,null
96,95,9510,9500,Headcount,Balances,~,null,Units,null
97,95,9520,9500,Units,Flow,~,null,Units,null
98,95,9530,9500,Average Unit Price,Balances,~,[Account].[Accounts].[Account Level 04].&[50]/[Account].[Accounts].[Account Level 02].&[97],Currency,null
99,95,9540,9500,Square Footage,Balances,~,null,Units,null
100,27,2220,2200,Current Installments of Long-term Debt,Liabilities,+,null,Currency,null
101,51,4200,4110,Trade Sales,Revenue,+,null,Currency,null
