CurrencyKey,DateKey,AverageRate,EndOfDayRate,Date
3,20101229,"1,0","1,0",29.12.2010 0:00:00
3,20101230,"1,0","1,001",30.12.2010 0:00:00
3,20101231,"1,0","1,0",31.12.2010 0:00:00
3,20110101,"1,0","1,0",01.01.2011 0:00:00
3,20110102,"1,0","1,0",02.01.2011 0:00:00
3,20110103,"1,0","1,001",03.01.2011 0:00:00
3,20110104,"1,0","1,0",04.01.2011 0:00:00
3,20110105,"1,0","1,0",05.01.2011 0:00:00
3,20110106,"1,0","0,999",06.01.2011 0:00:00
3,20110107,"1,0","1,0",07.01.2011 0:00:00
3,20110108,"1,0","1,0",08.01.2011 0:00:00
3,20110109,"1,0","1,001",09.01.2011 0:00:00
3,20110110,"1,0","1,0",10.01.2011 0:00:00
3,20110111,"1,0","1,001",11.01.2011 0:00:00
3,20110112,"1,0","0,999",12.01.2011 0:00:00
3,20110113,"1,0","1,001",13.01.2011 0:00:00
3,20110114,"1,0","0,999",14.01.2011 0:00:00
3,20110115,"1,0","1,001",15.01.2011 0:00:00
3,20110116,"1,0","1,0",16.01.2011 0:00:00
3,20110117,"1,0","1,001",17.01.2011 0:00:00
3,20110118,"1,0","1,0",18.01.2011 0:00:00
3,20110119,"1,0","1,001",19.01.2011 0:00:00
3,20110120,"1,0","1,0",20.01.2011 0:00:00
3,20110121,"1,0","1,001",21.01.2011 0:00:00
3,20110122,"1,0","1,0",22.01.2011 0:00:00
3,20110123,"1,0","1,001",23.01.2011 0:00:00
3,20110124,"1,0","1,0",24.01.2011 0:00:00
3,20110125,"1,0","1,001",25.01.2011 0:00:00
3,20110126,"1,0","1,0",26.01.2011 0:00:00
3,20110127,"1,0","1,001",27.01.2011 0:00:00
3,20110128,"1,0","1,0",28.01.2011 0:00:00
3,20110129,"1,0","1,001",29.01.2011 0:00:00
3,20110130,"1,0","1,0",30.01.2011 0:00:00
3,20110131,"1,0","1,001",31.01.2011 0:00:00
3,20110201,"1,0","1,0",01.02.2011 0:00:00
3,20110202,"1,0","1,001",02.02.2011 0:00:00
3,20110203,"1,0","1,0",03.02.2011 0:00:00
3,20110204,"1,0","1,001",04.02.2011 0:00:00
3,20110205,"1,0","1,0",05.02.2011 0:00:00
3,20110206,"1,0","1,001",06.02.2011 0:00:00
3,20110207,"1,0","1,0",07.02.2011 0:00:00
3,20110208,"1,0","1,001",08.02.2011 0:00:00
3,20110209,"1,0","1,0",09.02.2011 0:00:00
3,20110210,"1,0","1,001",10.02.2011 0:00:00
3,20110211,"1,0","1,0",11.02.2011 0:00:00
3,20110212,"1,0","1,001",12.02.2011 0:00:00
3,20110213,"1,0","1,0",13.02.2011 0:00:00
3,20110214,"1,0","1,0",14.02.2011 0:00:00
3,20110215,"1,0","1,0",15.02.2011 0:00:00
3,20110216,"1,0","1,001",16.02.2011 0:00:00
3,20110217,"1,0","1,0",17.02.2011 0:00:00
3,20110218,"1,0","1,001",18.02.2011 0:00:00
3,20110219,"1,0","1,0",19.02.2011 0:00:00
3,20110220,"1,0","1,0",20.02.2011 0:00:00
3,20110221,"1,0","1,0",21.02.2011 0:00:00
3,20110222,"1,0","1,001",22.02.2011 0:00:00
3,20110223,"1,0","1,0",23.02.2011 0:00:00
3,20110224,"1,0","1,0",24.02.2011 0:00:00
3,20110225,"1,0","1,0",25.02.2011 0:00:00
3,20110226,"1,0","1,001",26.02.2011 0:00:00
3,20110227,"1,0","1,0",27.02.2011 0:00:00
3,20110228,"1,001","1,001",28.02.2011 0:00:00
3,20110301,"1,001","1,0",01.03.2011 0:00:00
3,20110302,"1,001","1,001",02.03.2011 0:00:00
3,20110303,"1,0","1,0",03.03.2011 0:00:00
3,20110304,"1,0","1,001",04.03.2011 0:00:00
3,20110305,"1,0","1,0",05.03.2011 0:00:00
3,20110306,"1,0","1,0",06.03.2011 0:00:00
3,20110307,"1,001","1,0",07.03.2011 0:00:00
3,20110308,"1,001","1,001",08.03.2011 0:00:00
3,20110309,"1,001","1,0",09.03.2011 0:00:00
3,20110310,"1,0","1,0",10.03.2011 0:00:00
3,20110311,"1,0","1,0",11.03.2011 0:00:00
3,20110312,"1,0","1,001",12.03.2011 0:00:00
3,20110313,"1,0","1,0",13.03.2011 0:00:00
3,20110314,"1,0","1,001",14.03.2011 0:00:00
3,20110315,"1,0","1,0",15.03.2011 0:00:00
3,20110316,"1,0","1,0",16.03.2011 0:00:00
3,20110317,"1,0","1,0",17.03.2011 0:00:00
3,20110318,"1,0","1,001",18.03.2011 0:00:00
3,20110319,"1,0","1,0",19.03.2011 0:00:00
3,20110320,"1,0","1,001",20.03.2011 0:00:00
3,20110321,"1,001","1,0",21.03.2011 0:00:00
3,20110322,"1,001","1,001",22.03.2011 0:00:00
3,20110323,"1,001","1,0",23.03.2011 0:00:00
3,20110324,"1,0","1,001",24.03.2011 0:00:00
3,20110325,"1,0","1,0",25.03.2011 0:00:00
3,20110326,"1,0","1,001",26.03.2011 0:00:00
3,20110327,"1,0","1,0",27.03.2011 0:00:00
3,20110328,"1,006","1,006",28.03.2011 0:00:00
3,20110329,"1,006","1,006",29.03.2011 0:00:00
3,20110330,"1,006","1,006",30.03.2011 0:00:00
3,20110331,"1,0","1,0",31.03.2011 0:00:00
3,20110401,"1,0","1,001",01.04.2011 0:00:00
3,20110402,"1,0","1,0",02.04.2011 0:00:00
3,20110403,"1,0","1,001",03.04.2011 0:00:00
3,20110404,"1,001","1,0",04.04.2011 0:00:00
3,20110405,"1,001","1,001",05.04.2011 0:00:00
3,20110406,"1,001","1,0",06.04.2011 0:00:00
3,20110407,"1,0","1,0",07.04.2011 0:00:00
3,20110408,"1,0","1,0",08.04.2011 0:00:00
3,20110409,"1,0","1,001",09.04.2011 0:00:00
3,20110410,"1,0","1,0",10.04.2011 0:00:00
3,20110411,"1,001","1,001",11.04.2011 0:00:00
3,20110412,"1,001","1,0",12.04.2011 0:00:00
3,20110413,"1,001","1,001",13.04.2011 0:00:00
3,20110414,"1,0","0,999",14.04.2011 0:00:00
3,20110415,"1,0","1,0",15.04.2011 0:00:00
3,20110416,"1,0","1,0",16.04.2011 0:00:00
3,20110417,"1,0","1,001",17.04.2011 0:00:00
3,20110418,"1,001","1,0",18.04.2011 0:00:00
3,20110419,"1,001","1,001",19.04.2011 0:00:00
3,20110420,"1,001","1,0",20.04.2011 0:00:00
3,20110421,"1,0","1,0",21.04.2011 0:00:00
3,20110422,"1,0","1,0",22.04.2011 0:00:00
3,20110423,"1,0","1,0",23.04.2011 0:00:00
3,20110424,"1,0","1,0",24.04.2011 0:00:00
3,20110425,"1,001","1,001",25.04.2011 0:00:00
3,20110426,"1,001","1,0",26.04.2011 0:00:00
3,20110427,"1,001","1,001",27.04.2011 0:00:00
3,20110428,"1,0","1,0",28.04.2011 0:00:00
3,20110429,"1,0","1,001",29.04.2011 0:00:00
3,20110430,"1,0","1,0",30.04.2011 0:00:00
3,20110501,"1,0","1,0",01.05.2011 0:00:00
3,20110502,"1,001","1,0",02.05.2011 0:00:00
3,20110503,"1,001","1,001",03.05.2011 0:00:00
3,20110504,"1,001","1,0",04.05.2011 0:00:00
3,20110505,"1,0","1,001",05.05.2011 0:00:00
3,20110506,"1,0","1,0",06.05.2011 0:00:00
3,20110507,"1,0","1,0",07.05.2011 0:00:00
3,20110508,"1,0","1,0",08.05.2011 0:00:00
3,20110509,"1,001","1,001",09.05.2011 0:00:00
3,20110510,"1,001","1,0",10.05.2011 0:00:00
3,20110511,"1,001","1,001",11.05.2011 0:00:00
3,20110512,"1,0","1,0",12.05.2011 0:00:00
3,20110513,"1,0","1,001",13.05.2011 0:00:00
3,20110514,"1,0","1,0",14.05.2011 0:00:00
3,20110515,"1,0","1,0",15.05.2011 0:00:00
3,20110516,"1,001","1,0",16.05.2011 0:00:00
3,20110517,"1,001","1,001",17.05.2011 0:00:00
3,20110518,"1,001","1,0",18.05.2011 0:00:00
3,20110519,"1,0","1,001",19.05.2011 0:00:00
3,20110520,"1,0","1,0",20.05.2011 0:00:00
3,20110521,"1,0","1,0",21.05.2011 0:00:00
3,20110522,"1,0","1,0",22.05.2011 0:00:00
3,20110523,"1,001","1,001",23.05.2011 0:00:00
3,20110524,"1,001","1,0",24.05.2011 0:00:00
3,20110525,"1,001","1,001",25.05.2011 0:00:00
3,20110526,"1,0","1,0",26.05.2011 0:00:00
3,20110527,"1,0","1,001",27.05.2011 0:00:00
3,20110528,"1,0","1,0",28.05.2011 0:00:00
3,20110529,"1,0","1,001",29.05.2011 0:00:00
3,20110530,"1,001","1,0",30.05.2011 0:00:00
3,20110531,"1,001","1,001",31.05.2011 0:00:00
3,20110601,"1,001","1,0",01.06.2011 0:00:00
3,20110602,"1,0","1,001",02.06.2011 0:00:00
3,20110603,"1,0","1,0",03.06.2011 0:00:00
3,20110604,"1,001","1,001",04.06.2011 0:00:00
3,20110605,"1,001","1,001",05.06.2011 0:00:00
3,20110606,"1,001","1,002",06.06.2011 0:00:00
3,20110607,"1,0","1,0",07.06.2011 0:00:00
3,20110608,"1,0","1,001",08.06.2011 0:00:00
3,20110609,"1,0","0,999",09.06.2011 0:00:00
3,20110610,"1,0","1,001",10.06.2011 0:00:00
3,20110611,"1,0","1,0",11.06.2011 0:00:00
3,20110612,"1,0","1,001",12.06.2011 0:00:00
3,20110613,"1,001","1,0",13.06.2011 0:00:00
3,20110614,"1,001","1,001",14.06.2011 0:00:00
3,20110615,"1,001","1,0",15.06.2011 0:00:00
3,20110616,"1,001","1,001",16.06.2011 0:00:00
3,20110617,"1,0","1,0",17.06.2011 0:00:00
3,20110618,"1,0","1,0",18.06.2011 0:00:00
3,20110619,"1,0","1,0",19.06.2011 0:00:00
3,20110620,"1,001","1,001",20.06.2011 0:00:00
3,20110621,"1,001","1,0",21.06.2011 0:00:00
3,20110622,"1,001","1,002",22.06.2011 0:00:00
3,20110623,"1,0","1,0",23.06.2011 0:00:00
3,20110624,"1,0","1,001",24.06.2011 0:00:00
3,20110625,"1,0","1,0",25.06.2011 0:00:00
3,20110626,"1,0","1,0",26.06.2011 0:00:00
3,20110627,"1,001","1,0",27.06.2011 0:00:00
3,20110628,"1,001","1,001",28.06.2011 0:00:00
3,20110629,"1,001","1,0",29.06.2011 0:00:00
3,20110630,"1,0","1,0",30.06.2011 0:00:00
3,20110701,"1,0","1,0",01.07.2011 0:00:00
3,20110702,"1,0","1,001",02.07.2011 0:00:00
3,20110703,"1,0","1,0",03.07.2011 0:00:00
3,20110704,"1,001","1,001",04.07.2011 0:00:00
3,20110705,"1,001","1,0",05.07.2011 0:00:00
3,20110706,"1,001","1,002",06.07.2011 0:00:00
3,20110707,"1,0","1,0",07.07.2011 0:00:00
3,20110708,"1,0","1,001",08.07.2011 0:00:00
3,20110709,"1,0","0,999",09.07.2011 0:00:00
3,20110710,"1,0","1,001",10.07.2011 0:00:00
3,20110711,"1,001","1,0",11.07.2011 0:00:00
3,20110712,"1,001","1,001",12.07.2011 0:00:00
